,id,day,country,hour,name,diagnose,suspect,cure,death,time,label,datex,continents,currentdiagnose,day.1,Clusters
73,2023229,,白俄罗斯,,白俄罗斯,237611,0,223553,1649,1611574245,,,欧洲,12409,2021-01-25,0
74,2023230,,埃塞俄比亚,,埃塞俄比亚,133767,0,119416,2066,1611574245,,,非洲,12285,2021-01-25,0
75,2023231,,马拉维,,马拉维,19395,0,6699,508,1611574245,,,非洲,12188,2021-01-25,0
76,2023232,,莫桑比克,,莫桑比克,32418,0,20558,305,1611574245,,,非洲,11555,2021-01-25,0
77,2023233,,韩国,,韩国,75521,0,62956,1360,1611574245,,,亚洲,11205,2021-01-25,0
78,2023234,,拉脱维亚,,拉脱维亚,61008,0,48719,1111,1611574245,,,欧洲,11178,2021-01-25,0
79,2023235,,芬兰,,芬兰,42580,0,31000,644,1611574245,,,欧洲,10936,2021-01-25,0
80,2023236,,斯威士兰,,斯威士兰,14330,0,2936,458,1611574245,,,非洲,10936,2021-01-25,0
81,2023237,,苏丹,,苏丹,28233,0,15688,1707,1611574245,,,非洲,10838,2021-01-25,0
82,2023238,,爱沙尼亚,,爱沙尼亚,40975,0,30120,383,1611574245,,,欧洲,10472,2021-01-25,0
83,2023239,,危地马拉,,危地马拉,154212,0,138460,5465,1611574245,,,北美洲,10287,2021-01-25,0
84,2023240,,北马其顿,,北马其顿,90654,0,78154,2785,1611574245,,,欧洲,9715,2021-01-25,0
85,2023241,,留尼旺,,留尼旺,9701,0,0,45,1611574245,,,非洲,9656,2021-01-25,0
86,2023242,,瓜德罗普岛,,瓜德罗普岛,9056,0,0,157,1611574245,,,北美洲,8899,2021-01-25,0
87,2023243,,亚美尼亚,,亚美尼亚,166036,0,154259,3039,1611574245,,,亚洲,8738,2021-01-25,0
88,2023244,,赞比亚共和国,,赞比亚共和国,45337,0,35960,639,1611574245,,,非洲,8738,2021-01-25,0
89,2023245,,约旦,,约旦,320453,0,307707,4224,1611574245,,,亚洲,8522,2021-01-25,0
90,2023246,,斯里兰卡,,斯里兰卡,58430,0,49864,280,1611574245,,,亚洲,8286,2021-01-25,0
91,2023247,,津巴布韦,,津巴布韦,31320,0,22250,1005,1611574245,,,非洲,8065,2021-01-25,0
92,2023248,,乌拉圭,,乌拉圭,37633,0,29270,376,1611574245,,,南美洲,7987,2021-01-25,0
93,2023249,,黑山,,黑山,58316,0,49562,768,1611574245,,,欧洲,7986,2021-01-25,0
