city,lat,lot
Anhui,117.25236396446026,32.2034759958059
Beijing,116.44890184360814,40.282078766730514
Chongqing,108.10619806693632,30.025937828023928
Fujian,117.68810824758621,23.532400460344828
Gansu,102.09728097049542,36.71055551742717
Guangdong,110.57830436744975,20.357275194765094
Guangxi,109.21006536801423,20.910761542340435
Guizhou,109.56252105719999,26.743828429999994
Hainan,108.95279152161292,18.323203365483867
Hebei,118.53564811814722,38.94467572030624
Heilongjiang,126.78626203086404,48.15708391331095
Henan,114.49622553251976,34.002411436083705
Hubei,111.89411134027563,30.613352627392466
Hunan,111.56111993500565,27.527227589277107
Jiangsu,120.8894245494546,32.828362620545455
Jiangxi,115.72406930143497,27.83015064553865
Jilin,126.50104890916948,43.51922771869347
Liaoning,121.83125246415383,38.914609234153836
Nei Mongol,113.82730712600001,44.858303072
Ningxia Hui,106.1616374426657,37.09949771913369
Qinghai,96.65557781621712,35.428331636551306
Shaanxi,108.31752066420472,34.99184985525212
Shandong,119.91066162093337,35.13970352066667
Shanghai,121.70462104000002,30.557472865333338
Shanxi,112.52535669761902,37.8843483151548
Sichuan,102.78458415408411,31.401651801555577
Tianjin,117.6380194335065,39.10681795787646
Xinjiang Uygur,85.61839710067862,40.13508015320284
Xizang,88.93162959571953,30.87680187253528
Yunnan,102.53244387417828,24.515769999259888
Zhejiang,120.47274721538462,27.144797396923078
